"","address","lat","long","postal","x","y"
"1","216 ANG MO KIO AVE 1",1.36619678831054,103.841505011903,560216,28911.0522399368,38692.6167905722
"2","211 ANG MO KIO AVE 3",1.369196965617,103.841666636086,560211,28929.0379298814,39024.3611866981
"3","202 ANG MO KIO AVE 3",1.36845752328237,103.844515336938,560202,29246.0643070489,38942.5987060331
"4","235 ANG MO KIO AVE 3",1.36682360708102,103.83649123895,560235,28353.0790917883,38761.9259028193
"5","232 ANG MO KIO AVE 3",1.36834606813391,103.837196046409,560232,28431.5154539887,38930.2720091287
"6","308 ANG MO KIO AVE 1",1.36569665029696,103.844347269095,563308,29227.361780446,38637.3153379746
"7","220 ANG MO KIO AVE 1",1.36558833593063,103.840518883254,560220,28801.3080979744,38625.3368742224
"8","219 ANG MO KIO AVE 1",1.36598198004505,103.840654039612,560219,28816.3492579265,38668.8640811536
"9","320 ANG MO KIO AVE 1",1.3655924562134,103.848386744168,560320,29676.907292584,38625.7965238225
"10","223 ANG MO KIO AVE 1",1.36604808445916,103.838122716883,560223,28534.6432265872,38676.1728609148
"11","230 ANG MO KIO AVE 3",1.36875041500147,103.837993360863,560230,28520.2468654914,38974.9827850293
"12","329 ANG MO KIO AVE 3",1.3665990830055,103.846874423696,560329,29508.6034101117,38737.103189908
"13","313 ANG MO KIO AVE 3",1.36664972640598,103.850133665442,560313,29871.3180071767,38742.7053699438
"14","117 ANG MO KIO AVE 4",1.3737170825368,103.835610469339,560117,28255.0592533173,39524.1712259967
"15","110 ANG MO KIO AVE 4",1.37045937010888,103.837419259859,560110,28456.3560250094,39163.9502265006
"16","343 ANG MO KIO AVE 3",1.36837474759489,103.849151113749,560343,29761.9704968724,38933.448694557
"17","345 ANG MO KIO AVE 3",1.36748702509964,103.849651723914,560345,29817.6830492252,38835.2892298773
"18","346 ANG MO KIO AVE 3",1.36709586875167,103.84966230288,560346,29818.8606554,38792.0371589176
"19","121 ANG MO KIO AVE 3",1.36970226464475,103.84343759746,560121,29126.1243039668,39080.2353398167
