"","Address","nearest_hawkers","dist_to_nearest_hawkers","hawkers_1km"
"1","216 ANG MO KIO AVE 1","226H ANG MO KIO STREET 22 KEBUN BARU FOOD CENTRE SINGAPORE 568226","0.185551081251184","4"
"2","211 ANG MO KIO AVE 3","226H ANG MO KIO STREET 22 KEBUN BARU FOOD CENTRE SINGAPORE 568226","0.280487438548229","4"
"3","202 ANG MO KIO AVE 3","724 ANG MO KIO AVENUE 6 MARKET & HAWKER CENTRE (BLK 724 ANG MO KIO AVE 6) SINGAPORE 560724","0.469384664416573","4"
"4","235 ANG MO KIO AVE 3","226D ANG MO KIO AVENUE 1 KEBUN BARU MARKET AND FOOD CENTRE SINGAPORE 564226","0.29506337357504","2"
"5","232 ANG MO KIO AVE 3","226D ANG MO KIO AVENUE 1 KEBUN BARU MARKET AND FOOD CENTRE SINGAPORE 564226","0.27597894104229","2"
"6","308 ANG MO KIO AVE 1","341 ANG MO KIO AVENUE 1 DBS ANG MO KIO AVENUE 1 SINGAPORE 560341","0.462461763125557","4"
"7","220 ANG MO KIO AVE 1","226H ANG MO KIO STREET 22 KEBUN BARU FOOD CENTRE SINGAPORE 568226","0.181547618628837","4"
"8","219 ANG MO KIO AVE 1","226H ANG MO KIO STREET 22 KEBUN BARU FOOD CENTRE SINGAPORE 568226","0.144218166119323","4"
"9","320 ANG MO KIO AVE 1","341 ANG MO KIO AVENUE 1 DBS ANG MO KIO AVENUE 1 SINGAPORE 560341","0.197729234635311","5"
"10","223 ANG MO KIO AVE 1","226D ANG MO KIO AVENUE 1 KEBUN BARU MARKET AND FOOD CENTRE SINGAPORE 564226","0.141686864910647","2"
"11","230 ANG MO KIO AVE 3","226D ANG MO KIO AVENUE 1 KEBUN BARU MARKET AND FOOD CENTRE SINGAPORE 564226","0.251027137283463","2"
"12","329 ANG MO KIO AVE 3","341 ANG MO KIO AVENUE 1 DBS ANG MO KIO AVENUE 1 SINGAPORE 560341","0.33407315315415","4"
"13","313 ANG MO KIO AVE 3","341 ANG MO KIO AVENUE 1 DBS ANG MO KIO AVENUE 1 SINGAPORE 560341","0.387753000781548","5"
"14","117 ANG MO KIO AVE 4","590 UPPER THOMSON ROAD SEMBAWANG HILLS FOOD CENTRE SINGAPORE 574419","0.749958375631686","4"
"15","110 ANG MO KIO AVE 4","226D ANG MO KIO AVENUE 1 KEBUN BARU MARKET AND FOOD CENTRE SINGAPORE 564226","0.449239035887083","3"
"16","343 ANG MO KIO AVE 3","724 ANG MO KIO AVENUE 6 MARKET & HAWKER CENTRE (BLK 724 ANG MO KIO AVE 6) SINGAPORE 560724","0.51488637331817","5"
"17","345 ANG MO KIO AVE 3","341 ANG MO KIO AVENUE 1 DBS ANG MO KIO AVENUE 1 SINGAPORE 560341","0.442095293714016","5"
"18","346 ANG MO KIO AVE 3","341 ANG MO KIO AVENUE 1 DBS ANG MO KIO AVENUE 1 SINGAPORE 560341","0.403057174657713","5"
"19","121 ANG MO KIO AVE 3","724 ANG MO KIO AVENUE 6 MARKET & HAWKER CENTRE (BLK 724 ANG MO KIO AVE 6) SINGAPORE 560724","0.438811266969389","4"
"20","129 ANG MO KIO AVE 3","226H ANG MO KIO STREET 22 KEBUN BARU FOOD CENTRE SINGAPORE 568226","0.369052442551808","4"
