"","Address","nearest_hospital","dist_to_nearest_hospital","hospitals_1km"
"1","216 ANG MO KIO AVE 1","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.9881278126334","0"
"2","211 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.65646748283289","0"
"3","202 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.79312376177859","0"
"4","235 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.96195562619839","0"
"5","232 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.77983952531722","0"
"6","308 ANG MO KIO AVE 1","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.0874913344394","0"
"7","220 ANG MO KIO AVE 1","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.05182368130184","0"
"8","219 ANG MO KIO AVE 1","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.00819733055701","0"
"9","320 ANG MO KIO AVE 1","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.23752550070234","0"
"10","223 ANG MO KIO AVE 1","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.01594274763916","0"
"11","230 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.71995750339922","0"
"12","329 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.07047026046404","0"
"13","313 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.21874210556896","0"
"14","117 ANG MO KIO AVE 4","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.26260740870505","0"
"15","110 ANG MO KIO AVE 4","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.54447578746505","0"
"16","343 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.99776676658841","0"
"17","345 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.11120985990587","0"
"18","346 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.14984028561088","0"
"19","121 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.63026362878759","0"
"20","129 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.58371163491213","0"
"21","130 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.52578539199113","0"
"22","128 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.51036133538353","0"
"23","127 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.46932622558592","0"
"24","126 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","1.42476924939592","0"
"25","403 ANG MO KIO AVE 10","5 LORONG NAPIRI SINGAPORE GENERAL HOSPITAL REHABILITATION MEDICINE SINGAPORE 547530","2.87077525714235","0"
"26","404 ANG MO KIO AVE 10","5 LORONG NAPIRI SINGAPORE GENERAL HOSPITAL REHABILITATION MEDICINE SINGAPORE 547530","2.84348285591582","0"
"27","405 ANG MO KIO AVE 10","820 THOMSON ROAD 24-HOUR WALK-IN CLINIC (MOUNT ALVERNIA HOSPITAL) SINGAPORE 574623","2.85998106981002","0"
"28","417 ANG MO KIO AVE 10","5 LORONG NAPIRI SINGAPORE GENERAL HOSPITAL REHABILITATION MEDICINE SINGAPORE 547530","2.66552369239888","0"
"29","418 ANG MO KIO AVE 10","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.61312835369914","0"
"30","419 ANG MO KIO AVE 10","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.58416942247198","0"
"31","441 ANG MO KIO AVE 10","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.52271549210402","0"
"32","442 ANG MO KIO AVE 10","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.63075263136256","0"
"33","443 ANG MO KIO AVE 10","17 ANG MO KIO AVENUE 9 DBS ANG MO KIO COMMUNITY HOSPITAL SINGAPORE 569766","2.60683224845659","0"
