"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"1","216 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.40560541395691","1"
"2","211 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.226982542653575","3"
"3","202 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.552030498222191","4"
"4","235 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.446561726095923","3"
"5","232 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.291922797661901","3"
"6","308 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.662077946053042","2"
"7","220 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.4271918977328","1"
"8","219 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.388829785051954","1"
"9","320 ANG MO KIO AVE 1","1 ANG MO KIO STREET 32 NASCANS @ TECK GHEE SINGAPORE 569299","0.291985082673661","3"
"10","223 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.401216601558186","3"
"11","230 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.193013696967375","2"
"12","329 ANG MO KIO AVE 3","1 ANG MO KIO STREET 32 NASCANS @ TECK GHEE SINGAPORE 569299","0.472183991524083","3"
"13","313 ANG MO KIO AVE 3","1 ANG MO KIO STREET 32 NASCANS @ TECK GHEE SINGAPORE 569299","0.147944328471063","3"
"14","117 ANG MO KIO AVE 4","501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405","0.153388036809566","3"
"15","110 ANG MO KIO AVE 4","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.276792229112415","3"
"16","343 ANG MO KIO AVE 3","1 ANG MO KIO STREET 32 NASCANS @ TECK GHEE SINGAPORE 569299","0.367117922931945","2"
"17","345 ANG MO KIO AVE 3","1 ANG MO KIO STREET 32 NASCANS @ TECK GHEE SINGAPORE 569299","0.254269476044637","3"
"18","346 ANG MO KIO AVE 3","1 ANG MO KIO STREET 32 NASCANS @ TECK GHEE SINGAPORE 569299","0.21997129721143","3"
"19","121 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.425755377806506","3"
"20","129 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.277659635316792","3"
"21","130 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.277376196697223","3"
"22","128 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.467120420037101","3"
"23","127 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.489143237191081","3"
"24","126 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.516379841974236","3"
"25","403 ANG MO KIO AVE 10","3 ANG MO KIO AVENUE 10 TOWNSVILLE PRIMARY SCHOOL SINGAPORE 569730","0.164911727916106","2"
"26","404 ANG MO KIO AVE 10","3 ANG MO KIO AVENUE 10 TOWNSVILLE PRIMARY SCHOOL SINGAPORE 569730","0.208749320846614","2"
