"","Address","nearest_supermarket","dist_to_nearest_supermarket","supermarket_1km"
"1","216 ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 DBS NTUC ANG MO KIO AVENUE 1 SINGAPORE 560215","0.0484144242733456","7"
"2","211 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.22353343527186","7"
"3","202 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.228424569936115","7"
"4","235 ANG MO KIO AVE 3","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.085413106957313","4"
"5","232 ANG MO KIO AVE 3","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.102159927815393","5"
"6","308 ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 DBS NTUC ANG MO KIO AVENUE 1 SINGAPORE 560215","0.296258822587594","8"
"7","220 ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 DBS NTUC ANG MO KIO AVENUE 1 SINGAPORE 560215","0.176389800678847","8"
"8","219 ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 DBS NTUC ANG MO KIO AVENUE 1 SINGAPORE 560215","0.141361132376571","7"
"9","320 ANG MO KIO AVE 1","316B ANG MO KIO STREET 31 TECK GHEE VISTA SINGAPORE 563316","0.133518187010832","7"
"10","223 ANG MO KIO AVE 1","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.227118467272704","4"
"11","230 ANG MO KIO AVE 3","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.1931719289005","4"
"12","329 ANG MO KIO AVE 3","316B ANG MO KIO STREET 31 TECK GHEE VISTA SINGAPORE 563316","0.23717144436359","6"
"13","313 ANG MO KIO AVE 3","53 ANG MO KIO AVENUE 3 DBS ANG MO KIO BRANCH SINGAPORE 569933","0.339894564014778","7"
"14","117 ANG MO KIO AVE 4","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.435553779722575","4"
"15","110 ANG MO KIO AVE 4","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.332640036548383","5"
"16","343 ANG MO KIO AVE 3","53 ANG MO KIO AVENUE 3 DBS ANG MO KIO BRANCH SINGAPORE 569933","0.119683681149124","7"
"17","345 ANG MO KIO AVE 3","53 ANG MO KIO AVENUE 3 DBS ANG MO KIO BRANCH SINGAPORE 569933","0.232515378222648","7"
"18","346 ANG MO KIO AVE 3","53 ANG MO KIO AVENUE 3 DBS ANG MO KIO BRANCH SINGAPORE 569933","0.270398290976747","7"
"19","121 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.0542072136640175","7"
"20","129 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.154207488060174","7"
"21","130 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.172341180145322","7"
"22","128 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.0731558156169922","7"
"23","127 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.116903517301125","7"
"24","126 ANG MO KIO AVE 3","122 ANG MO KIO AVENUE 3 SINGAPORE 560122","0.164688288978693","7"
