"","X","lat","long","postal","x","y","address"
"1",1,1.3808503546459,103.879309094304,530982,33118.1645297259,40312.9815477617,"982 BUANGKOK CRESCENT SINGAPORE 530982"
"2",2,1.37931783499145,103.88784708944,538719,34068.3398895012,40143.5433120634,"21 HOUGANG STREET 51 OCBC HOUGANG GREEN SHOPPING MALL SINGAPORE 538719"
"3",3,1.3968497990014,103.889246755784,540330,34224.059433992,42082.1435010303,"330 ANCHORVALE STREET ANCHORVALE HARVEST SINGAPORE 540330"
"4",4,1.37560985710478,103.879407455354,538692,33129.1220846558,39733.5139844604,"1 HOUGANG STREET 91 UOB HOUGANG 1 SINGAPORE 538692"
"5",5,1.37563500157221,103.871996419103,554913,32304.3652027464,39736.2796912044,"19 SERANGOON NORTH AVENUE 5 GLOBALKIDS EDU PTE LTD SINGAPORE 554913"
"6",6,1.3913688093851,103.876156956828,797653,32767.3502747472,41476.0526732709,"33 SENGKANG WEST AVENUE DBS SENGKANG WEST AVENUE SINGAPORE 797653"
"7",7,1.37368393003779,103.871416978631,552542,32239.8840760468,39520.5390376821,"542B SERANGOON NORTH AVENUE 3 SINGAPORE 552542"
"8",8,1.39779874741053,103.881698806174,790473,33384.0710367812,42187.0548145697,"473 FERNVALE STREET FERNVALE RIVERGROVE SINGAPORE 790473"
"9",9,1.41764102542684,103.896348101989,797601,35014.2826652378,44381.1536222454,"2 SELETAR NORTH LINK CARNIVAL CINEMAS S11 PUNGGOL SINGAPORE 797601"
"10",10,1.41833138632619,103.896447883223,797455,35025.3848103257,44457.4905970972,"8 SELETAR NORTH LINK DBS PPT LODGE 1A SINGAPORE 797455"
"11",12,1.37331270061833,103.886367847223,530683,33903.7334833844,39479.5220757108,"683 HOUGANG AVENUE 8 SINGAPORE 530683"
"12",13,1.37361587694624,103.885758919948,530682,33835.9665854434,39513.0442914292,"682 HOUGANG AVENUE 4 DBS NTUC HOUGANG AVENUE 4 SINGAPORE 530682"
