"","Address","nearest_mrt","dist_to_nearest_mrt","mrt_1km"
"1","406 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","1.00512069359733","0"
"2","108 ANG MO KIO AVE 4","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.190087262863439","1"
"3","602 ANG MO KIO AVE 5","1 LENTOR DRIVE LENTOR MRT STATION (TE5) SINGAPORE 789361","0.535716054632374","1"
"4","465 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.946586470943108","1"
"5","601 ANG MO KIO AVE 5","1 LENTOR DRIVE LENTOR MRT STATION (TE5) SINGAPORE 789361","0.50171186228769","1"
"6","150 ANG MO KIO AVE 5","3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813","0.640153169700853","2"
"7","447 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.763766534237314","1"
"8","218 ANG MO KIO AVE 1","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.911257336589686","1"
"9","571 ANG MO KIO AVE 3","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.592480978850667","1"
"10","534 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.688574909173581","1"
"11","233 ANG MO KIO AVE 3","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.436122131163996","2"
"12","235 ANG MO KIO AVE 3","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.516546034220299","2"
"13","219 ANG MO KIO AVE 1","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.760986921663743","2"
"14","536 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.714891954045449","1"
"15","230 ANG MO KIO AVE 3","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.325878267150665","2"
"16","570 ANG MO KIO AVE 3","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.719788363086691","1"
"17","624 ANG MO KIO AVE 4","3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813","0.550739384218448","2"
"18","441 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.67084520442053","1"
"19","625 ANG MO KIO AVE 9","3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813","0.418651518182927","2"
"20","119 ANG MO KIO AVE 3","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.542328337710731","2"
"21","255 ANG MO KIO AVE 4","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.233647185856932","2"
"22","432 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.484769215917134","1"
"23","211 ANG MO KIO AVE 3","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.620992795697833","2"
"24","584 ANG MO KIO AVE 3","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.44655879276532","1"
"25","118 ANG MO KIO AVE 4","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.23747477456337","1"
"26","333 ANG MO KIO AVE 1","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.98549127671917","1"
"27","256 ANG MO KIO AVE 4","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.115633343522365","2"
"28","330 ANG MO KIO AVE 1","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.850936084093602","1"
"29","557 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.929417142531525","1"
"30","302 ANG MO KIO AVE 3","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.536966916932828","1"
"31","575 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.729927792430652","1"
"32","509 ANG MO KIO AVE 8","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.457453318268722","1"
"33","472 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","1.21603475175688","0"
"34","475 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","1.1200473272375","0"
"35","629 ANG MO KIO AVE 4","3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813","0.537494150007507","2"
"36","546 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.928084784296129","1"
"37","131 ANG MO KIO AVE 3","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.584448718431065","2"
"38","254 ANG MO KIO AVE 4","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.251875169827025","2"
"39","470 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","1.02595204416631","0"
"40","463 ANG MO KIO AVE 10","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.942947168624272","1"
"41","207 ANG MO KIO AVE 1","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.87590055054869","2"
"42","304 ANG MO KIO AVE 1","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.650133580113435","1"
"43","646 ANG MO KIO AVE 6","3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813","0.293958128191095","1"
"44","328 ANG MO KIO AVE 3","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.41424009109636","1"
"45","588C ANG MO KIO ST 52","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.504159162158998","1"
"46","588D ANG MO KIO ST 52","2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812","0.522293715456942","1"
"47","101 ANG MO KIO AVE 3","91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900","0.34936952543906","1"
