"","Address","nearest_supermarket","dist_to_nearest_supermarket","supermarket_1km"
"1","406 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.389702303465616","2"
"2","108 ANG MO KIO AVE 4","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.391516821572047","6"
"3","602 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.853789199813453","1"
"4","465 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.479886504407996","4"
"5","601 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.899151610741515","1"
"6","150 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.401087815156353","3"
"7","447 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.407254152805979","4"
"8","218 ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 KITS4KIDS SPECIAL SCHOOL SINGAPORE 560215","0.152854953811598","7"
"9","571 ANG MO KIO AVE 3","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.308716311292899","5"
"10","534 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.160271184098689","5"
"11","233 ANG MO KIO AVE 3","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0","4"
"12","235 ANG MO KIO AVE 3","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.085413106957313","4"
"13","219 ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 KITS4KIDS SPECIAL SCHOOL SINGAPORE 560215","0.144861003291426","7"
"14","536 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.204837071736775","4"
"15","230 ANG MO KIO AVE 3","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.194047299928455","4"
