"","Primary School","Location","Address","Affiliations","Mode","Funding","Nature","Website"
"1","Anglo-Chinese School (Primary)","Novena","50 Barker Road, S309918","Anglo-Chinese School (Independent) (Secondary)
Anglo-Chinese School (Barker Road)","Single session","Government-Aided","Boys","Link"
"2","Angsana Primary School","Tampines","51 Tampines Street 61, S528565","","Single session","Government","Co-Ed","Link"
"3","Beacon Primary School","Bukit Panjang","36 Bukit Panjang Ring Road, S679944","","Single session","Government","Co-Ed","Link"
"4","Bedok Green Primary School","Bedok","1 Bedok South Ave 2, S469317","","Single session","Government","Co-Ed","Link"
"5","Bendemeer Primary School","Kallang","91 Bendemeer Road, S339948","","Single session","Government","Co-Ed","Link"
"6","Blangah Rise Primary School","Bukit Merah","91 Telok Blangah Heights, S109100","","Single session","Government","Co-Ed","Link"
"7","Boon Lay Garden Primary School","Jurong West","20 Boon Lay Drive, S649930","","Single session","Government","Co-Ed","Link"
"8","Bukit Panjang Primary School","Bukit Panjang","109 Cashew Road, S679676","","Single session","Government","Co-Ed","Link"
"9","Bukit Timah Primary Schoo","Bukit Timah","111 Lorong Kismis, S598112","","Single session","Government","Co-Ed","Link"
"10","Bukit View Primary School","Bukit Batok","18 Bukit Batok Street 21, S659634","","Single session","Government","Co-Ed","Link"
"11","Canberra Primary School","Sembawang","21 Admiralty Drive, S757714","","Single session","Government","Co-Ed","Link"
"12","Canossa Catholic Primary School","Geylang","1 Sallim Road, S387621","St. Anthony's Canossian Secondary School","Single session","Government-Aided","Co-Ed","Link"
"13","Cantonment Primary School","Bukit Merah","1 Cantonment Close, S088256","","Single session","Government","Co-Ed","Link"
"14","Casuarina Primary School","Pasir Ris","30 Pasir Ris St 41, S518935","","Single session","Government","Co-Ed","Link"
"15","Catholic High School (Primary Section)","Bishan","9 Bishan Street 22, S579767","Catholic High School (Secondary)","Single session","Government-Aided / Autonomous","Boys","Link"
"16","Cedar Primary School","Toa Payoh","15 Cedar Avenue, S349700","","Single session","Government","Co-Ed","Link"
"17","Changkat Primary School","Tampines","11 Simei St 3, S529896","","Single session","Government","Co-Ed","Link"
"18","CHIJ (Katong) Primary","Bedok","17 Martia Road, S424821","CHIJ Katong Convent","Single session","Government-Aided","Girls","Link"
"19","CHIJ (Kellock)","Bukit Merah","1 Bukit Teresa Road, S099757","CHIJ St. Theresa's Convent","Single session","Government-Aided","Girls","Link"
"20","CHIJ Our Lady of Good Counsel","Serangoon","2C Burghley Drive, S558979","CHIJ St. Joseph's Convent","Single session","Government-Aided","Girls","Link"
"21","Chongfu School","Yishun","170 Yishun Avenue 6, S768959","","Single session","Government-Aided","Co-Ed","Link"
"22","Chongzheng Primary School","Tampines","1 Tampines Street 21, S529392","","Single session","Government","Co-Ed","Link"
"23","Chua Chu Kang Primary School","Choa Chu Kang","20 Choa Chu Kang Avenue 2, S689905","","Single session","Government","Co-Ed","Link"
"24","Clementi Primary School","Clementi","8 Clementi Ave 3, S129903","","Single session","Government","Co-Ed","Link"
"25","Compassvale Primary School","Seng Kang","21 Compassvale St, S545091","","Single session","Government","Co-Ed","Link"
"26","Concord Primary School","Choa Chu Kang","3 Choa Chu Kang Ave 4, S689814","","Single session","Government","Co-Ed","Link"
"27","Corporation Primary School","Jurong West","31 Jurong West Street 24, S648347","","Single session","Government","Co-Ed","Link"
"28","Damai Primary School","Bedok","52 Bedok Reservoir Crescent, S479226","","Single session","Government","Co-Ed","Link"
"29","Dazhong Primary School","Bukit Batok","35 Bukit Batok Street 31, S659441","","Single session","Government","Co-Ed","Link"
"30","De La Salle School","Choa Chu Kang","11 Choa Chu Kang St 52, S689285","St. Joseph's Institution (Secondary)
St. Patrick's School","Single session","Government-Aided","Co-Ed","Link"
"31","East Spring Primary School","Tampines","31 Tampines St 33, S529258","","Single session","Government","Co-Ed","Link"
"32","Edgefield Primary School","Punggol","41 Edgefield Plains, S828869","","Single session","Government","Co-Ed","Link"
"33","Elias Park Primary School","Pasir Ris","11 Pasir Ris Street 52, S518866","","Single session","Government","Co-Ed","Link"
"34","Endeavour Primary School","Sembawang","10 Admiralty Link, S757521","","Single session","Government","Co-Ed","Link"
"35","Evergreen Primary School","Woodlands","31 Woodlands Circle, S738908","","Single session","Government","Co-Ed","Link"
"36","Fairfield Methodist School (Primary)","Queenstown","100 Dover Road, S139648","Fairfield Methodist School (Secondary)","Single session","Government-Aided","Co-Ed","Link"
"37","Farrer Park Primary School","Kallang","2 Farrer Park Road, S217567","","Single session","Government","Co-Ed","Link"
"38","Fengshan Primary School","Bedok","307 Bedok North Road, S469680","","Single session","Government","Co-Ed","Link"
"39","Fern Green Primary School","Seng Kang","70 Fernvale Link, S797538","","Single session","Government","Co-Ed","Link"
"40","Fernvale Primary School","Seng Kang","1 Fernvale Lane, S797701","","Single session","Government","Co-Ed","Link"
"41","First Toa Payoh Primary School","Toa Payoh","7 Lorong 8 Toa Payoh, S319252","","Single session","Government","Co-Ed","Link"
"42","Frontier Primary School","Jurong West","20 Jurong West Street 61, S648200","","Single session","Government","Co-Ed","Link"
"43","Fuchun Primary School","Woodlands","23 Woodlands Avenue 1, S739063","","Single session","Government","Co-Ed","Link"
"44","Fuhua Primary School","Jurong East","65 Jurong East Street 13, S609647","","Single session","Government","Co-Ed","Link"
"45","Gan Eng Seng Primary School","Bukit Merah","100 Redhill Close, S158901","","Single session","Government","Co-Ed","Link"
"46","Geylang Methodist School (Primary)","Geylang","4 Geylang East Central, S389706","Geylang Methodist School (Secondary)","Single session","Government-Aided","Co-Ed","Link"
"47","Gongshang Primary School","Tampines","1 Tampines Street 42, S529176","","Single session","Government","Co-Ed","Link"
"48","Greendale Primary School","Punggol","50 Edgedale Plains, S828848","","Single session","Government","Co-Ed","Link"
"49","Greenridge Primary School","Bukit Panjang","11 Jelapang Road, S677744","","Single session","Government","Co-Ed","Link"
"50","Greenwood Primary School","Woodlands","11 Woodlands Dr 62, S737942","","Single session","Government","Co-Ed","Link"
"51","Haig Girls' School","Geylang","51 Koon Seng Road, S427072","","Single session","Government","Girls","Link"
